,Title,Available Globally?,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description
12366,The Haunted House: The Secret of the Cave // 극장판1신비아파트: 금빛 도깨비와 비밀의 동굴,No,,300000,95.0,8.0,"['Animation', 'Adventure', 'Comedy']","time travel,goblin,ghost,apartment complex,korean anime","Hari and Duri are a sister and brother living in the Shinbi apartment complex, which is more than a hundred years old. Living with them is a 102-year-old goblin named Shinbi."
12367,The Heiress (2019),No,,300000,430.0,6.0,['Horror'],"niece,sorceress,two word title",Luna is a sorceress who will stop at nothing to keep to herself her niece Guia.
12368,The Hopeful Romantic,No,,300000,97.0,6.6,"['Comedy', 'Romance']",,"When a timid man named Jess meets a mysterious woman named Veronica, his life is suddenly turned upside down."
12369,The Imposter (2012),No,,300000,49872.0,7.5,"['Documentary', 'Biography', 'Crime']","missing child,impostor,crime documentary,true crime,docudrama drama",
12370,The Invisible Guest // Contratiempo,No,,300000,188713.0,8.0,"['Crime', 'Drama', 'Mystery']","repeated scene from a different perspective,surprise ending,giallo,spanish giallo,lawyer",A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.
12371,The Invisible Witness // Il testimone invisibile,No,,300000,1728.0,6.6,"['Drama', 'Thriller']","house,remake,italian remake,italian remake of spanish film,remake of european film",
12374,The Island with Bear Grylls: Season 6,No,,300000,1409.0,7.3,"['Game-Show', 'Reality-TV']","survival,survival game show,island,non fiction","A group of British men or women are taken to a remote, uninhabited Pacific island by Bear Grylls, and left completely alone for six weeks, with nothing but cameras, the clothes they&apos;re wearing and some basic tools."
12375,The Ivory Game,Yes,2016-11-04,300000,3450.0,7.8,['Documentary'],"activist,crime documentary",Wildlife activists in take on poachers in an effort to end illegal ivory trade in Africa.
12377,The Keeper (2009),No,,300000,4861.0,5.0,"['Action', 'Crime', 'Thriller']","low budget,businessman,san antonio texas,rescue,texas","Roland Sallinger is an LA cop who after nearly being killed by his greedy partner, and eventually being forced to retire for medical reasons, flees to San Antonio, Texas, after being asked to work as a bodyguard for the daughter o..."
12378,The Killing of a Journalist // Kuciak: Vražda novinára,No,,300000,346.0,7.7,"['Documentary', 'Crime']","police,murder,young","In Slovakia, a young investigative journalist is brutally murdered. When the police files of the murder investigation are leaked to the reporter&apos;s colleagues, they uncover vast corruption reaching the highest levels of Slovak soci..."
12379,The Knower // العارف,No,,300000,1964.0,6.2,"['Action', 'Crime', 'Thriller']",wife,"The film tackles cybercrime through the story of Younis, a man who lives with his wife and their baby girl, as he decides to rob a bank through the internet, but then finds himself chased by a dangerous gang."
12381,The Land Before Time XIV: Journey of the Brave,No,,300000,5377.0,5.7,"['Animation', 'Adventure', 'Comedy']","dinosaur adventure,talking dinosaur,yellow flower,stegosaurus,sick dinosaur",
12382,The Legend of Bhagat Singh // द लेजेंड ऑफ़ भगत सिंह,No,,300000,17128.0,8.1,"['Action', 'Biography', 'Drama']","indian history,british raj,cricket the sport,young,revolutionary",The story of a young revolutionary who raised an armed resistance against the British rule in India.
12383,The Legend of Black Snake // Black Snake: La légende du serpent noir,No,,300000,51432.0,7.2,"['Action', 'Adventure', 'Drama']","origin of villain,prequel,fight to the death,murder,death",Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.
