,country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
937,Argentina,AR,2023-04-23,TV,8,Pasión de Gavilanes,Pasión de Gavilanes: Season 1,77
938,Argentina,AR,2023-04-23,TV,9,Florida Man,Florida Man: Limited Series,2
939,Argentina,AR,2023-04-23,TV,10,Rough Diamonds,Rough Diamonds: Season 1,1
940,Argentina,AR,2023-04-16,Films,1,Hunger,,2
941,Argentina,AR,2023-04-16,Films,2,The Last Kingdom: Seven Kings Must Die,,1
942,Argentina,AR,2023-04-16,Films,3,Chupa,,2
943,Argentina,AR,2023-04-16,Films,4,Trolls World Tour,,1
944,Argentina,AR,2023-04-16,Films,5,Queens on the Run,,1
945,Argentina,AR,2023-04-16,Films,6,Murder Mystery 2,,3
946,Argentina,AR,2023-04-16,Films,7,Risen,,1
947,Argentina,AR,2023-04-16,Films,8,Irresistible,,1
948,Argentina,AR,2023-04-16,Films,9,Home,,2
949,Argentina,AR,2023-04-16,Films,10,Noah,,2
950,Argentina,AR,2023-04-16,TV,1,The Night Agent,The Night Agent: Season 1,4
951,Argentina,AR,2023-04-16,TV,2,Obsession,Obsession: Limited Series,1
952,Argentina,AR,2023-04-16,TV,3,BEEF,BEEF: Season 1,1
953,Argentina,AR,2023-04-16,TV,4,Transatlantic,Transatlantic: Limited Series,1
954,Argentina,AR,2023-04-16,TV,5,"Pablo Escobar, el patrón del mal","Pablo Escobar, el patrón del mal: Season 1",13
955,Argentina,AR,2023-04-16,TV,6,Pasión de Gavilanes,Pasión de Gavilanes: Season 1,76
956,Argentina,AR,2023-04-16,TV,7,Til Money Do Us Part,Til Money Do Us Part: Season 1,25
957,Argentina,AR,2023-04-16,TV,8,The Blacklist,The Blacklist: Season 9,2
958,Argentina,AR,2023-04-16,TV,9,Florida Man,Florida Man: Limited Series,1
959,Argentina,AR,2023-04-16,TV,10,The Signing,The Signing: Season 1,1
960,Argentina,AR,2023-04-09,Films,1,Murder Mystery 2,,2
961,Argentina,AR,2023-04-09,Films,2,Chupa,,1
962,Argentina,AR,2023-04-09,Films,3,Patriots Day,,1
963,Argentina,AR,2023-04-09,Films,4,비상선언,,2
964,Argentina,AR,2023-04-09,Films,5,Murder Mystery,,2
965,Argentina,AR,2023-04-09,Films,6,Hunger,,1
966,Argentina,AR,2023-04-09,Films,7,Noah,,1
967,Argentina,AR,2023-04-09,Films,8,Kill Boksoon,,2
968,Argentina,AR,2023-04-09,Films,9,Home,,1
969,Argentina,AR,2023-04-09,Films,10,Luther: The Fallen Sun,,5
970,Argentina,AR,2023-04-09,TV,1,The Night Agent,The Night Agent: Season 1,3
971,Argentina,AR,2023-04-09,TV,2,Unseen,Unseen: Season 1,2
972,Argentina,AR,2023-04-09,TV,3,The Blacklist,The Blacklist: Season 9,1
973,Argentina,AR,2023-04-09,TV,4,The Kingdom,The Kingdom: Season 2,3
974,Argentina,AR,2023-04-09,TV,5,Wrong Side of the Tracks,Wrong Side of the Tracks: Season 2,6
975,Argentina,AR,2023-04-09,TV,6,War Sailor,War Sailor: Limited Series,1
976,Argentina,AR,2023-04-09,TV,7,"Pablo Escobar, el patrón del mal","Pablo Escobar, el patrón del mal: Season 1",12
977,Argentina,AR,2023-04-09,TV,8,Til Money Do Us Part,Til Money Do Us Part: Season 1,24
978,Argentina,AR,2023-04-09,TV,9,Who Were We Running From?,Who Were We Running From?: Limited Series,3
979,Argentina,AR,2023-04-09,TV,10,Pasión de Gavilanes,Pasión de Gavilanes: Season 1,75
980,Argentina,AR,2023-04-02,Films,1,Murder Mystery 2,,1
981,Argentina,AR,2023-04-02,Films,2,비상선언,,1
982,Argentina,AR,2023-04-02,Films,3,Murder Mystery,,1
983,Argentina,AR,2023-04-02,Films,4,Chor Nikal Ke Bhaga,,2
984,Argentina,AR,2023-04-02,Films,5,On The Fringe,,1
985,Argentina,AR,2023-04-02,Films,6,Johnny,,2
986,Argentina,AR,2023-04-02,Films,7,Luther: The Fallen Sun,,4
987,Argentina,AR,2023-04-02,Films,8,All Quiet on the Western Front,,7
988,Argentina,AR,2023-04-02,Films,9,Kill Boksoon,,1
989,Argentina,AR,2023-04-02,Films,10,Still Time,,3
990,Argentina,AR,2023-04-02,TV,1,The Night Agent,The Night Agent: Season 1,2
991,Argentina,AR,2023-04-02,TV,2,The Kingdom,The Kingdom: Season 2,2
992,Argentina,AR,2023-04-02,TV,3,Who Were We Running From?,Who Were We Running From?: Limited Series,2
993,Argentina,AR,2023-04-02,TV,4,Unseen,Unseen: Season 1,1
994,Argentina,AR,2023-04-02,TV,5,Wrong Side of the Tracks,Wrong Side of the Tracks: Season 2,5
995,Argentina,AR,2023-04-02,TV,6,"Pablo Escobar, el patrón del mal","Pablo Escobar, el patrón del mal: Season 1",11
996,Argentina,AR,2023-04-02,TV,7,Til Money Do Us Part,Til Money Do Us Part: Season 1,23
997,Argentina,AR,2023-04-02,TV,8,The Kingdom,The Kingdom: Season 1,8
998,Argentina,AR,2023-04-02,TV,9,Pasión de Gavilanes,Pasión de Gavilanes: Season 1,74
999,Argentina,AR,2023-04-02,TV,10,I Am Georgina,I Am Georgina: Season 2,1
1000,Argentina,AR,2023-03-26,Films,1,Still Time,,2
1001,Argentina,AR,2023-03-26,Films,2,In His Shadow,,2
1002,Argentina,AR,2023-03-26,Films,3,Luther: The Fallen Sun,,3
1003,Argentina,AR,2023-03-26,Films,4,Noise,,2
1004,Argentina,AR,2023-03-26,Films,5,All Quiet on the Western Front,,6
1005,Argentina,AR,2023-03-26,Films,6,The Magician's Elephant,,2
1006,Argentina,AR,2023-03-26,Films,7,Chor Nikal Ke Bhaga,,1
1007,Argentina,AR,2023-03-26,Films,8,Perfume: The Story of a Murderer,,1
1008,Argentina,AR,2023-03-26,Films,9,Johnny,,1
1009,Argentina,AR,2023-03-26,Films,10,Bad Boys for Life,,5
1010,Argentina,AR,2023-03-26,TV,1,The Night Agent,The Night Agent: Season 1,1
1011,Argentina,AR,2023-03-26,TV,2,The Kingdom,The Kingdom: Season 2,1
1012,Argentina,AR,2023-03-26,TV,3,Wrong Side of the Tracks,Wrong Side of the Tracks: Season 2,4
1013,Argentina,AR,2023-03-26,TV,4,Sky High: The Series,Sky High: The Series: Season 1,2
1014,Argentina,AR,2023-03-26,TV,5,Maestro in Blue,Maestro in Blue: Season 1,1
1015,Argentina,AR,2023-03-26,TV,6,The Glory,The Glory: Season 1,3
1016,Argentina,AR,2023-03-26,TV,7,Shadow and Bone,Shadow and Bone: Season 2,2
1017,Argentina,AR,2023-03-26,TV,8,The Kingdom,The Kingdom: Season 1,7
1018,Argentina,AR,2023-03-26,TV,9,Who Were We Running From?,Who Were We Running From?: Limited Series,1
1019,Argentina,AR,2023-03-26,TV,10,"Pablo Escobar, el patrón del mal","Pablo Escobar, el patrón del mal: Season 1",10
1020,Argentina,AR,2023-03-19,Films,1,Luther: The Fallen Sun,,2
1021,Argentina,AR,2023-03-19,Films,2,All Quiet on the Western Front,,5
1022,Argentina,AR,2023-03-19,Films,3,Still Time,,1
1023,Argentina,AR,2023-03-19,Films,4,Faraway,,2
1024,Argentina,AR,2023-03-19,Films,5,In His Shadow,,1
1025,Argentina,AR,2023-03-19,Films,6,Noise,,1
1026,Argentina,AR,2023-03-19,Films,7,I Still Believe,,1
1027,Argentina,AR,2023-03-19,Films,8,The Magician's Elephant,,1
1028,Argentina,AR,2023-03-19,Films,9,Bad Boys for Life,,4
1029,Argentina,AR,2023-03-19,Films,10,The Constant Gardener,,2
1030,Argentina,AR,2023-03-19,TV,1,Wrong Side of the Tracks,Wrong Side of the Tracks: Season 2,3
1031,Argentina,AR,2023-03-19,TV,2,The Glory,The Glory: Season 1,2
1032,Argentina,AR,2023-03-19,TV,3,You,You: Season 4,4
