,Title,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description,Release Year,Release Month,Release Day,Available Globally
2975,The Barrier: Season 1 // La valla: Temporada 1,2020-09-11 00:00:00,6400000,65,8.9,['Short'],unknown,"Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the...",2020,9,Friday,No
2976,The Bombardment // Skyggen i mit øje,2022-03-09 00:00:00,6400000,15899,7.3,"['Drama', 'History', 'War']","world war two,year 1945,copenhagen denmark,air raid,royal air force",The fates of several Copenhagen residents collide when a WWII bombing mission accidentally targets a school full of children.,2022,3,Wednesday,Yes
2977,The Boy (2016),0,6400000,100341,6.0,"['Horror', 'Mystery', 'Thriller']","doll,nanny,england,suicide by drowning,surprise ending","An American nanny is shocked that her new English family&apos;s boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive.",0,0,Unknown,No
2978,The Craigslist Killer,0,6400000,5285,5.0,"['Biography', 'Crime', 'Drama']","tied feet,tied up while barefoot,whoremonger,tape over mouth,year 2009",unknown,0,0,Unknown,No
2979,The Defeated: Season 1,2021-08-18 00:00:00,6400000,11869,8.4,['Short'],unknown,unknown,2021,8,Wednesday,Yes
2980,The Girl with All the Gifts,2017-05-25 00:00:00,6400000,63561,6.6,"['Action', 'Adventure', 'Drama']","feral child,experiment,bitten by a zombie,zombie,scientist",unknown,2017,5,Thursday,No
2981,The Kingdom: Season 1 // El Reino: Temporada 1,2021-08-12 00:00:00,6400000,11869,8.4,['Short'],unknown,unknown,2021,8,Thursday,Yes
2982,The Magic School Bus: Season 1,0,6400000,99,6.3,"['Animation', 'Adventure', 'Comedy']",unknown,The Magic School Bus kids blast into orbit and onto the International Space Station only to find themselves on the run from a giant tardigrade.,0,0,Unknown,No
2983,The Shannara Chronicles: Season 1,0,6400000,18,6.8,['Horror'],"astral projection,vampire,psychotronic film,vampire vs vampire,slayer",Raven Cross gets a crash course in the supernatural when she discovers that she is a vampire slayer and member of a coven of light workers tasked to protect the veil.,0,0,Unknown,No
2985,The Star (2017),0,6400000,9004,6.3,"['Animation', 'Adventure', 'Comedy']","talking animal,bible story,king,nativity,christianity",A small but brave donkey and his animal friends become the unsung heroes of the first Christmas.,0,0,Unknown,No
2986,The Woman in the Window,2021-05-14 00:00:00,6400000,81286,5.7,"['Crime', 'Drama', 'Mystery']","knife violence,stabbing,knife,neighbor,suicide",An agoraphobic woman living alone in New York begins spying on her new neighbors; only to witness a disturbing act of violence.,2021,5,Friday,Yes
2987,There's Someone Inside Your House,2021-10-06 00:00:00,6400000,19198,4.9,"['Horror', 'Mystery', 'Thriller']","masked killer,murder,psychopath,girl,slasher","The graduating class at Osborne High is being targeted by a masked assailant, intent on exposing the darkest secret of each victim, and only a group of misfit outsiders can stop the killings.",2021,10,Wednesday,Yes
2988,This Is Us: Season 6,0,6400000,180,8.4,['Drama'],unknown,"A young woman breaks things off with her boyfriend but finds out the universe has other plans. Desperate to move on, she is forced to literally relive the memories they&apos;ve shared together. Pin-balling through time and space, she a...",0,0,Unknown,No
